toy, ,"('it a toy apple it a fake apple so she not steal any real food', 'Mother')","[0, 'it a toy apple it a fake apple so she not steal any real food']",apple,30.8876978993408,male,Clark
food, ,"('it a toy apple it a fake apple so she not steal any real food', 'Mother')","[0, 'it a toy apple it a fake apple so she not steal any real food']",apple,30.8876978993408,male,Clark
food, ,"('Dudley rush there but the bunny lady do have Sam_potatoes mother bunny be say to grocer dog I have decide not to buy any food today after all', 'Mother')","[0, 'Dudley rush there but the bunny lady do have Sam_potatoes mother bunny be say to grocer dog I have decide not to buy any food today after all']",bunny,30.8876978993408,male,Clark
food, ,"('Dudley rush there but the bunny lady do have Sam_potatoes mother bunny be say to grocer dog I have decide not to buy any food today after all', 'Mother')","[0, 'Dudley rush there but the bunny lady do have Sam_potatoes mother bunny be say to grocer dog I have decide not to buy any food today after all']",dog,30.8876978993408,male,Clark
clothes, ,"('sometimes I a little lady and put on long clothes big shoe with high heel I walk on my toe', 'Investigator')","[0, 'sometimes I a little lady and put on long clothes big shoe with high heel I walk on my toe']",shoe,29.0663052629417,male,Clark
clothes, ,"('so let me put a diaper on my shoulder so I can take Ana so all my clothes will be spit up on hi', 'Investigator')","[0, 'so let me put a diaper on my shoulder so I can take Ana so all my clothes will be spit up on hi']",diaper,29.0663052629417,male,Clark
toy, ,"('right but this be just a toy airplane so it will go very far', 'Investigator')","[0, 'right but this be just a toy airplane so it will go very far']",airplane,29.2962894515288,male,Clark
toy, ,"('and these toy airplane will go that far see', 'Investigator')","[0, 'and these toy airplane will go that far see']",airplane,29.2962894515288,male,Clark
toy, ,"('but it too little to drive it just a toy car', 'Investigator')","[0, 'but it too little to drive it just a toy car']",car,29.2962894515288,male,Clark
food, ,"('she want food and milk huh', 'Investigator')","[0, 'she want food and milk huh']",milk,31.8548635495595,male,Clark
food, ,"('poor little kitty have enough food in there', 'Father')","[0, 'poor little kitty have enough food in there']",kitty,34.4606665434609,male,Clark
toy, ,"('when do you play with your toy and read a book', 'Investigator')","[0, 'when do you play with your toy and read a book']",book,32.0992217499333,male,Clark
animal, ,"('and a_lot_of the animal do have any water to drink', 'Father')","[0, 'and a_lot_of the animal do have any water to drink']",drink,34.8220702683833,male,Clark
animal, ,"('and a_lot_of the animal do have any water to drink', 'Father')","[0, 'and a_lot_of the animal do have any water to drink']",water,34.8220702683833,male,Clark
toy, ,"('you play with toy so you do like to have your pajamas on', 'Investigator')","[0, 'you play with toy so you do like to have your pajamas on']",pajamas,31.8548635495595,male,Clark
clothes, ,"('yeah big boy wear those kind of clothes these be long pant and jacket like daddy daddy wear them too', 'Investigator')","[0, 'yeah big boy wear those kind of clothes these be long pant and jacket like daddy daddy wear them too']",jacket,31.5920244768886,male,Clark
toy, ,"('and a little toy ship and some milk on a dish', 'Investigator')","[0, 'and a little toy ship and some milk on a dish']",milk,35.0335735846732,male,Clark
toy, ,"('you sink our toy ship', 'Investigator')","[0, 'you sink our toy ship']",sink,35.0335735846732,male,Clark
food, ,"('grocer cat will sell the food to other person in busy town', 'Investigator')","[0, 'grocer cat will sell the food to other person in busy town']",cat,33.8877595022485,male,Clark
toy, ,"('the pudgy book of toy', 'Mother')","[0, 'the pudgy book of toy']",book,13.4273804390234,female,NewEngland
toy, ,"('the pudgy book of toy', 'Mother')","[0, 'the pudgy book of toy']",book,13.4273804390234,female,NewEngland
toy, ,"('the pudgy book of toy', 'Mother')","[0, 'the pudgy book of toy']",book,13.4273804390234,female,NewEngland
animal, ,"('a baby animal book', 'Mother')","[0, 'a baby animal book']",book,14.1974167847389,male,NewEngland
animal, ,"('but you have a_lot_of other little book that have animal in them huh', 'Mother')","[0, 'but you have a_lot_of other little book that have animal in them huh']",book,14.1317070165712,male,NewEngland
animal, ,"('oh a animal baby book', 'Mother')","[0, 'oh a animal baby book']",book,19.6246329493419,male,NewEngland
animal, ,"('this be a book all about animal', 'Mother')","[0, 'this be a book all about animal']",book,19.6246329493419,male,NewEngland
animal, ,"('this be your baby animal book', 'Mother')","[0, 'this be your baby animal book']",book,14.2302716688228,male,NewEngland
animal, ,"('this be your baby animal book remember', 'Mother')","[0, 'this be your baby animal book remember']",book,14.2302716688228,male,NewEngland
toy, ,"('orange toy', 'Mother')","[0, 'orange toy']",orange,19.8874720220128,male,NewEngland
toy, ,"('do that bug have a toy', 'Mother')","[0, 'do that bug have a toy']",bug,32.4934803589396,female,NewEngland
toy, ,"('they label all his clothes and his toy and his slipper', 'Mother')","[0, 'they label all his clothes and his toy and his slipper']",slipper,31.9534282018111,female,NewEngland
clothes, ,"('they label all his clothes and his toy and his slipper', 'Mother')","[0, 'they label all his clothes and his toy and his slipper']",slipper,31.9534282018111,female,NewEngland
clothes, ,"('oh he go in his own drawer and take his clothes out himself huh', 'Mother')","[0, 'oh he go in his own drawer and take his clothes out himself huh']",drawer,31.7234440132241,male,NewEngland
clothes, ,"('do you know where some of the clothes be in your drawer', 'Mother')","[0, 'do you know where some of the clothes be in your drawer']",drawer,31.7234440132241,male,NewEngland
clothes, ,"('what kind of clothes do this little bunny have', 'Mother')","[0, 'what kind of clothes do this little bunny have']",bunny,30.3291648699152,male,NewEngland
animal, ,"('this be the book on baby animal', 'Mother')","[0, 'this be the book on baby animal']",book,19.821762253845,male,NewEngland
toy, ,"('this little bug go to sleep too with his toy', 'Mother')","[0, 'this little bug go to sleep too with his toy']",bug,29.6905480605351,male,NewEngland
food, ,"('you want to make him some dog food', 'Mother')","[0, 'you want to make him some dog food']",dog,31.9205733177273,female,NewEngland
toy, ,"('I have a a toy slipper and a rug', 'Mother')","[0, 'I have a a toy slipper and a rug']",slipper,31.5591695928048,female,NewEngland
clothes, ,"('see the closet with all the clothes in it', 'Mother')","[0, 'see the closet with all the clothes in it']",closet,33.0335325160681,male,NewEngland
toy, ,"('well there no more book but there be other toy here', 'Mother')","[0, 'well there no more book but there be other toy here']",book,27.4276679192591,female,NewEngland
clothes, ,"('there a closet with clothes', 'Mother')","[0, 'there a closet with clothes']",closet,27.8876362964332,female,NewEngland
animal, ,"('get the animal book', 'Mother')","[0, 'get the animal book']",book,11.0002258773281,female,Higginson
food, ,"('well cheese food be what it call', 'Mother')","[0, 'well cheese food be what it call']",cheese,22.0004517546562,female,Higginson
toy, ,"('because there too many toy on this table', 'Mother')","[0, 'because there too many toy on this table']",table,35.0007187005893,female,Higginson
animal, ,"('well that a special kind of block they have for animal that perform', 'Mother')","[0, 'well that a special kind of block they have for animal that perform']",block,35.9206554549375,male,Brown
animal, ,"('you have animal cracker on the table', 'Mother')","[0, 'you have animal cracker on the table']",cracker,21.0004312203536,female,Brown
animal, ,"('you have animal cracker on the table', 'Mother')","[0, 'you have animal cracker on the table']",table,21.0004312203536,female,Brown
animal, ,"('animal cracker and grape juice', 'Mother')","[0, 'animal cracker and grape juice']",cracker,21.0004312203536,female,Brown
animal, ,"('animal cracker and grape juice', 'Mother')","[0, 'animal cracker and grape juice']",juice,21.0004312203536,female,Brown
toy, ,"('I can open the toy box until my shoe be tie', 'Father')","[0, 'I can open the toy box until my shoe be tie']",shoe,23.0004722889587,female,Brown
toy, ,"('why do you take the toy out_of the briefcase and put them back on the table', 'Mother')","[0, 'why do you take the toy out_of the briefcase and put them back on the table']",table,21.0004312203536,female,Brown
toy, ,"('be you put the toy table', 'Investigator')","[0, 'be you put the toy table']",table,21.0004312203536,female,Brown
toy, ,"('do you put the toy on the table', 'Investigator')","[0, 'do you put the toy on the table']",table,21.0004312203536,female,Brown
clothes, ,"('you have one for your doll clothes', 'Grandmother')","[0, 'you have one for your doll clothes']",doll,30.4277295221668,female,Brown
food, ,"('dog food yeah', 'Mother')","[0, 'dog food yeah']",dog,28.6248177580648,female,Brown
clothes, ,"('you get all the clothes off all your doll', 'Mother')","[0, 'you get all the clothes off all your doll']",doll,31.1649109837984,female,Brown
clothes, ,"('she wash the doll clothes', 'Grandmother')","[0, 'she wash the doll clothes']",doll,30.4277295221668,female,Brown
animal, ,"('animal cracker huh', 'Mother')","[0, 'animal cracker huh']",cracker,32.8220291997782,female,Brown
toy, ,"('why do you put some of your doll back in your toy box', 'Father')","[0, 'why do you put some of your doll back in your toy box']",doll,30.6577137107538,female,Brown
food, ,"('there no fish food in there float around', 'Mother')","[0, 'there no fish food in there float around']",fish,27.0005544261689,female,Brown
food, ,"('there no fish food in there float around', 'Mother')","[0, 'there no fish food in there float around']",fish,27.0005544261689,female,Brown
toy, ,"('you want to go to bed with your toy', 'Father')","[0, 'you want to go to bed with your toy']",bed,33.6577753136615,female,Brown
toy, ,"('and your toy and your car and your', 'Father')","[0, 'and your toy and your car and your']",car,24.7561551571901,female,Nelson
clothes, ,"('you change his clothes and put them in the corn', 'Father')","[0, 'you change his clothes and put them in the corn']",corn,35.3621224255118,male,Demetras1
animal, ,"('okay each animal kiss the alligator', 'Father')","[0, 'okay each animal kiss the alligator']",alligator,29.000595494774,male,Kuczaj
animal, ,"('Abe now the animal tell the alligator that he want to go byebye', 'Father')","[0, 'Abe now the animal tell the alligator that he want to go byebye']",alligator,28.7890921784842,male,Kuczaj
food, ,"('that cat food', 'Father')","[0, 'that cat food']",cat,29.7562578287028,male,Kuczaj
animal, ,"('okay Abe put the zebra by the boat Abe now put each animal in the boat', 'Father')","[0, 'okay Abe put the zebra by the boat Abe now put each animal in the boat']",zebra,29.723402944619,male,Kuczaj
animal, ,"('okay Abe put the zebra by the boat Abe now put each animal in the boat', 'Father')","[0, 'okay Abe put the zebra by the boat Abe now put each animal in the boat']",boat,29.723402944619,male,Kuczaj
food, ,"('cat the eat cat food', 'Father')","[0, 'cat the eat cat food']",cat,29.7562578287028,male,Kuczaj
food, ,"('cat the eat cat food', 'Father')","[0, 'cat the eat cat food']",cat,29.7562578287028,male,Kuczaj
toy, ,"('you put some toy inside your truck', 'Father')","[0, 'you put some toy inside your truck']",truck,32.8220291997782,male,Kuczaj
food, ,"('Abe have listen to this Dad Abe have yogurt with honey cinnamon peanut butter and green food color', 'Mother')","[0, 'Abe have listen to this Dad Abe have yogurt with honey cinnamon peanut butter and green food color']",butter,33.1649520524035,male,Kuczaj
food, ,"('Abe have listen to this Dad Abe have yogurt with honey cinnamon peanut butter and green food color', 'Mother')","[0, 'Abe have listen to this Dad Abe have yogurt with honey cinnamon peanut butter and green food color']",yogurt,33.1649520524035,male,Kuczaj
animal, ,"('take all the animal out and put all the truck back in', 'Mother')","[0, 'take all the animal out and put all the truck back in']",truck,32.0335119817655,male,Kuczaj
food, ,"('orange food color', 'Mother')","[0, 'orange food color']",orange,33.2635167046551,male,Kuczaj
food, ,"('chicken do eat person food', 'Father')","[0, 'chicken do eat person food']",chicken,34.19782747079,male,Kuczaj
food, ,"('chicken do eat person food', 'Father')","[0, 'chicken do eat person food']",chicken,34.19782747079,male,Kuczaj
food, ,"('peanut butter and food color', 'Mother')","[0, 'peanut butter and food color']",butter,33.9863241545001,male,Kuczaj
animal, ,"('they have a frog in the hold soap in his mouth a night light of a frog and all different sort of poster of animal', 'Mother')","[0, 'they have a frog in the hold soap in his mouth a night light of a frog and all different sort of poster of animal']",frog,33.9863241545001,male,Kuczaj
animal, ,"('you go to put the other animal away and tell a hippo story all by itself', 'Father')","[0, 'you go to put the other animal away and tell a hippo story all by itself']",story,35.6906712663504,male,Kuczaj
clothes, ,"('dump the shoe in the clothes basket', 'Father')","[0, 'dump the shoe in the clothes basket']",shoe,17.5260272284852,male,Peters
animal, ,"('here be a animal cracker out_of your Easter basket', 'Father')","[0, 'here be a animal cracker out_of your Easter basket']",cracker,17.5260272284852,male,Peters
clothes, ,"('we be gonna have_to get shoe on and clothes and thing', 'Father')","[0, 'we be gonna have_to get shoe on and clothes and thing']",shoe,21.2961251771084,male,Peters
food, ,"('let Daddy see if there be some food in the refrigerator', 'Father')","[0, 'let Daddy see if there be some food in the refrigerator']",refrigerator,23.8218443910553,male,Peters
toy, ,"('well let us move this door so you can get to your toy', 'Father')","[0, 'well let us move this door so you can get to your toy']",door,23.6575699706359,male,Peters
food, ,"('monkey food', 'Father')","[0, 'monkey food']",monkey,33.7234850818292,male,Demetras2
toy, ,"('I just do think we have a toy giraffe', 'Mother')","[0, 'I just do think we have a toy giraffe']",giraffe,33.7234850818292,male,Demetras2
animal, ,"('do you put animal cracker in soup', 'Mother')","[0, 'do you put animal cracker in soup']",cracker,31.1649109837984,male,Demetras2
animal, ,"('do you put animal cracker in soup', 'Mother')","[0, 'do you put animal cracker in soup']",soup,31.1649109837984,male,Demetras2
animal, ,"('you have animal cracker', 'Mother')","[0, 'you have animal cracker']",cracker,31.1649109837984,male,Demetras2
animal, ,"('where do you have animal cracker', 'Mother')","[0, 'where do you have animal cracker']",cracker,31.1649109837984,male,Demetras2
toy, ,"('when when we go to Gramma Hanke shall we take some of your toy on the airplane', 'Mother')","[0, 'when when we go to Gramma Hanke shall we take some of your toy on the airplane']",airplane,26.7890511098791,male,Demetras2
animal, ,"('yeah remember we ride on the bus and watch the giraffe and what be those other big big animal we see there be lots_of them what be they', 'Mother')","[0, 'yeah remember we ride on the bus and watch the giraffe and what be those other big big animal we see there be lots_of them what be they']",giraffe,31.1649109837984,male,Demetras2
animal, ,"('yeah remember we ride on the bus and watch the giraffe and what be those other big big animal we see there be lots_of them what be they', 'Mother')","[0, 'yeah remember we ride on the bus and watch the giraffe and what be those other big big animal we see there be lots_of them what be they']",bus,31.1649109837984,male,Demetras2
toy, ,"('we have_to take Oliver shirt and Oliver shorts and his pajamas and his shoe and sock and some toy', 'Mother')","[0, 'we have_to take Oliver shirt and Oliver shorts and his pajamas and his shoe and sock and some toy']",pajamas,26.7890511098791,male,Demetras2
toy, ,"('we have_to take Oliver shirt and Oliver shorts and his pajamas and his shoe and sock and some toy', 'Mother')","[0, 'we have_to take Oliver shirt and Oliver shorts and his pajamas and his shoe and sock and some toy']",shirt,26.7890511098791,male,Demetras2
toy, ,"('we have_to take Oliver shirt and Oliver shorts and his pajamas and his shoe and sock and some toy', 'Mother')","[0, 'we have_to take Oliver shirt and Oliver shorts and his pajamas and his shoe and sock and some toy']",shoe,26.7890511098791,male,Demetras2
toy, ,"('we have_to take Oliver shirt and Oliver shorts and his pajamas and his shoe and sock and some toy', 'Mother')","[0, 'we have_to take Oliver shirt and Oliver shorts and his pajamas and his shoe and sock and some toy']",shorts,26.7890511098791,male,Demetras2
toy, ,"('we have_to take Oliver shirt and Oliver shorts and his pajamas and his shoe and sock and some toy', 'Mother')","[0, 'we have_to take Oliver shirt and Oliver shorts and his pajamas and his shoe and sock and some toy']",sock,26.7890511098791,male,Demetras2
animal, ,"('cute animal book', 'Mother')","[0, 'cute animal book']",book,18.0003696174459,female,McCune
food, ,"('see fish and food and apple', 'Mother')","[0, 'see fish and food and apple']",fish,19.0003901517485,female,McCune
food, ,"('see fish and food and apple', 'Mother')","[0, 'see fish and food and apple']",apple,19.0003901517485,female,McCune
food, ,"('see fish and food and apple', 'Mother')","[0, 'see fish and food and apple']",fish,19.0003901517485,female,McCune
animal, ,"('that Grover like in cute animal book', 'Mother')","[0, 'that Grover like in cute animal book']",book,18.0003696174459,female,McCune
toy, ,"('toy apple', 'Mother')","[0, 'toy apple']",apple,18.0003696174459,male,McCune
toy, ,"('toy apple', 'Mother')","[0, 'toy apple']",apple,19.0003901517485,male,McCune
toy, ,"('it toy soda', 'Mother')","[0, 'it toy soda']",soda,21.0004312203536,male,McCune
toy, ,"('toy apple', 'Mother')","[0, 'toy apple']",apple,21.0004312203536,male,McCune
food, ,"('maybe we can put the vegetable and food on the truck Patrick', 'Mother')","[0, 'maybe we can put the vegetable and food on the truck Patrick']",truck,24.0004928232613,male,McCune
toy, ,"('that a toy apple', 'Mother')","[0, 'that a toy apple']",apple,20.000410686051,male,McCune
toy, ,"('toy apple', 'Mother')","[0, 'toy apple']",apple,20.000410686051,male,McCune
clothes, ,"('smell the bread while it bake and the blueberry pie smell the fresh wash clothes as they hang out to dry', 'Mother')","[0, 'smell the bread while it bake and the blueberry pie smell the fresh wash clothes as they hang out to dry']",bread,16.8874104191051,male,Providence
toy, ,"('you go rake look at all these toy and book and thing', 'Mother')","[0, 'you go rake look at all these toy and book and thing']",book,17.8545760693238,male,Providence
food, ,"('squirrel food page seven', 'Mother')","[0, 'squirrel food page seven']",squirrel,23.0990369412103,male,Providence
food, ,"('and give Mommy that fish food', 'Mother')","[0, 'and give Mommy that fish food']",fish,26.559066921292,male,Providence
food, ,"('and give Mommy that fish food', 'Mother')","[0, 'and give Mommy that fish food']",fish,26.559066921292,male,Providence
toy, ,"('put the crayon away and we go get some more toy', 'Mother')","[0, 'put the crayon away and we go get some more toy']",crayon,22.1975810591593,male,Providence
food, ,"('angel food cake', 'Mother')","[0, 'angel food cake']",cake,23.5590053183844,male,Providence
food, ,"('okay get down let go put her over there get your bench you take it with you come on let get rid of the food', 'Mother')","[0, 'okay get down let go put her over there get your bench you take it with you come on let get rid of the food']",bench,26.559066921292,male,Providence
food, ,"('the squirrel food', 'Mother')","[0, 'the squirrel food']",squirrel,29.2962894515288,male,Providence
animal, ,"('you can have a animal cracker', 'Mother')","[0, 'you can have a animal cracker']",cracker,21.2632702930245,male,Providence
food, ,"('they need more squirrel food', 'Mother')","[0, 'they need more squirrel food']",squirrel,30.6577137107538,male,Providence
animal, ,"('let put your animal away first and I get your truck', 'Mother')","[0, 'let put your animal away first and I get your truck']",truck,32.3292059385203,male,Providence
animal, ,"('put your animal in there and I get the truck', 'Mother')","[0, 'put your animal in there and I get the truck']",truck,32.3292059385203,male,Providence
food, ,"('hm nice monkey I go feed the monkey some food', 'Mother')","[0, 'hm nice monkey I go feed the monkey some food']",monkey,14.9202242345839,male,Providence
animal, ,"('will you like some animal cookie', 'Mother')","[0, 'will you like some animal cookie']",cookie,16.0003285488408,male,Providence
food, ,"('do the dog need to eat food', 'Mother')","[0, 'do the dog need to eat food']",dog,16.0003285488408,male,Providence
toy, ,"('Caillou and Daddy race toy car on the table', 'Mother')","[0, 'Caillou and Daddy race toy car on the table']",table,19.8546171379289,male,Providence
toy, ,"('Caillou and Daddy race toy car on the table', 'Mother')","[0, 'Caillou and Daddy race toy car on the table']",car,19.8546171379289,male,Providence
toy, ,"('the toy be on the bed the sand be on the floor', 'Mother')","[0, 'the toy be on the bed the sand be on the floor']",bed,16.8545555350213,male,Providence
clothes, ,"('there be no clothes in the dryer', 'Mother')","[0, 'there be no clothes in the dryer']",dryer,16.3617322737633,male,Providence
toy, ,"('let play with some toy the door be close right now', 'Mother')","[0, 'let play with some toy the door be close right now']",door,15.4931312757962,male,Providence
clothes, ,"('and he like dress up he wear fun clothes', 'Mother')","[0, 'and he like dress up he wear fun clothes']",dress,16.3617322737633,male,Providence
animal, ,"('o for owl your favorite animal', 'Mother')","[0, 'o for owl your favorite animal']",owl,19.8546171379289,male,Providence
toy, ,"('in her car be all kind of toy elephant', 'Mother')","[0, 'in her car be all kind of toy elephant']",elephant,19.4603585289226,male,Providence
toy, ,"('in her car be all kind of toy elephant', 'Mother')","[0, 'in her car be all kind of toy elephant']",car,19.4603585289226,male,Providence
animal, ,"('toy animal even a baby elephant', 'Mother')","[0, 'toy animal even a baby elephant']",elephant,19.4603585289226,male,Providence
toy, ,"('toy animal even a baby elephant', 'Mother')","[0, 'toy animal even a baby elephant']",elephant,19.4603585289226,male,Providence
toy, ,"('there be and drum and dog and the fun toy clown you ever saw', 'Mother')","[0, 'there be and drum and dog and the fun toy clown you ever saw']",dog,19.4603585289226,male,Providence
toy, ,"('please little blue engine cry all the doll and toy will you pull our train over the mountain', 'Mother')","[0, 'please little blue engine cry all the doll and toy will you pull our train over the mountain']",doll,19.4603585289226,male,Providence
toy, ,"('please little blue engine cry all the doll and toy will you pull our train over the mountain', 'Mother')","[0, 'please little blue engine cry all the doll and toy will you pull our train over the mountain']",train,19.4603585289226,male,Providence
toy, ,"('slow the little blue engine begin to move I think I can I think I can I think I can and up the mountain she go with a train full of toy', 'Mother')","[0, 'slow the little blue engine begin to move I think I can I think I can I think I can and up the mountain she go with a train full of toy']",train,19.4603585289226,male,Providence
toy, ,"('hooray hooray cry all the doll and toy', 'Mother')","[0, 'hooray hooray cry all the doll and toy']",doll,19.4603585289226,male,Providence
toy, ,"('you want play with the toy train should we put the ambulance in the hospital', 'Mother')","[0, 'you want play with the toy train should we put the ambulance in the hospital']",train,26.7233413417113,male,Providence
animal, ,"('day after day he wait with all the other animal and doll for somebody to come along and take him home', 'Mother')","[0, 'day after day he wait with all the other animal and doll for somebody to come along and take him home']",doll,21.854658206534,male,Providence
clothes, ,"('past cow and woman wash clothes', 'Mother')","[0, 'past cow and woman wash clothes']",cow,23.3290211297973,male,Providence
animal, ,"('and put him on a shelf in the toy department with all the other animal and doll', 'Mother')","[0, 'and put him on a shelf in the toy department with all the other animal and doll']",doll,21.854658206534,male,Providence
toy, ,"('and put him on a shelf in the toy department with all the other animal and doll', 'Mother')","[0, 'and put him on a shelf in the toy department with all the other animal and doll']",doll,21.854658206534,male,Providence
food, ,"('the baby owl thought and all owl think a lot I think she go hunt say Sarah to get us our food say Percy what do Bill say', 'Mother')","[0, 'the baby owl thought and all owl think a lot I think she go hunt say Sarah to get us our food say Percy what do Bill say']",owl,22.756114088585,male,Providence
animal, ,"('yes the moose be go eat the pie up and what be the other animal he leave', 'Mother')","[0, 'yes the moose be go eat the pie up and what be the other animal he leave']",moose,30.7891332470893,male,Providence
food, ,"('yeah you go go camp and you have food you have a egg', 'Mother')","[0, 'yeah you go go camp and you have food you have a egg']",egg,29.000595494774,male,Providence
animal, ,"('where the animal car', 'Mother')","[0, 'where the animal car']",car,33.0006776319842,male,Providence
animal, ,"('there a story about animal and pet and school', 'Mother')","[0, 'there a story about animal and pet and school']",story,29.000595494774,male,Providence
animal, ,"('should we look at your animal book honey', 'Mother')","[0, 'should we look at your animal book honey']",book,14.0659972484035,female,Providence
food, ,"('he want the bird to eat the bird food', 'Mother')","[0, 'he want the bird to eat the bird food']",bird,31.2963305201339,male,Providence
food, ,"('and the bird be get some food too', 'Mother')","[0, 'and the bird be get some food too']",bird,31.2963305201339,male,Providence
food, ,"('because a nice airplane lady come by with a tray of food', 'Mother')","[0, 'because a nice airplane lady come by with a tray of food']",airplane,14.4274009733259,female,Providence
animal, ,"('on the bus our teach tell us about some of the animal exhibit that we will see', 'Mother')","[0, 'on the bus our teach tell us about some of the animal exhibit that we will see']",bus,14.4274009733259,female,Providence
toy, ,"('everyday everywhere baby be dress in diaper in tee shirt and slipper that baby have some toy on her car seat', 'Mother')","[0, 'everyday everywhere baby be dress in diaper in tee shirt and slipper that baby have some toy on her car seat']",diaper,15.7559703484671,female,Providence
toy, ,"('everyday everywhere baby be dress in diaper in tee shirt and slipper that baby have some toy on her car seat', 'Mother')","[0, 'everyday everywhere baby be dress in diaper in tee shirt and slipper that baby have some toy on her car seat']",dress,15.7559703484671,female,Providence
toy, ,"('everyday everywhere baby be dress in diaper in tee shirt and slipper that baby have some toy on her car seat', 'Mother')","[0, 'everyday everywhere baby be dress in diaper in tee shirt and slipper that baby have some toy on her car seat']",shirt,15.7559703484671,female,Providence
toy, ,"('everyday everywhere baby be dress in diaper in tee shirt and slipper that baby have some toy on her car seat', 'Mother')","[0, 'everyday everywhere baby be dress in diaper in tee shirt and slipper that baby have some toy on her car seat']",slipper,15.7559703484671,female,Providence
toy, ,"('everyday everywhere baby be dress in diaper in tee shirt and slipper that baby have some toy on her car seat', 'Mother')","[0, 'everyday everywhere baby be dress in diaper in tee shirt and slipper that baby have some toy on her car seat']",car,15.7559703484671,female,Providence
animal, ,"('oh your animal book should mommy take a couple a book out', 'Mother')","[0, 'oh your animal book should mommy take a couple a book out']",book,17.6903016489045,female,Providence
toy, ,"('everyday everywhere baby like toy rattle and top and book that will tear old pot and pan and a fuzz brown bear', 'Mother')","[0, 'everyday everywhere baby like toy rattle and top and book that will tear old pot and pan and a fuzz brown bear']",bear,15.7559703484671,female,Providence
toy, ,"('everyday everywhere baby like toy rattle and top and book that will tear old pot and pan and a fuzz brown bear', 'Mother')","[0, 'everyday everywhere baby like toy rattle and top and book that will tear old pot and pan and a fuzz brown bear']",book,15.7559703484671,female,Providence
animal, ,"('should we look at your animal book honey', 'Mother')","[0, 'should we look at your animal book honey']",book,17.6903016489045,female,Providence
animal, ,"('want read your animal kiss book', 'Mother')","[0, 'want read your animal kiss book']",book,18.3617733423684,female,Providence
animal, ,"('we have one with animal and there a monkey on the cover', 'Mother')","[0, 'we have one with animal and there a monkey on the cover']",monkey,19.0332450358324,female,Providence
animal, ,"('or we could look at your animal book too', 'Mother')","[0, 'or we could look at your animal book too']",book,13.5587999753588,female,Providence
animal, ,"('on the bus our teach tell us about some of the animal exhibit we will see', 'Mother')","[0, 'on the bus our teach tell us about some of the animal exhibit we will see']",bus,15.7559703484671,female,Providence
animal, ,"('you want your little animal book', 'Mother')","[0, 'you want your little animal book']",book,19.0332450358324,female,Providence
animal, ,"('your animal book', 'Mother')","[0, 'your animal book']",book,17.6903016489045,female,Providence
toy, ,"('the dog toy', 'Mother')","[0, 'the dog toy']",dog,16.7559908827697,female,Providence
animal, ,"('ooh those be very fast animal a wolf', 'Mother')","[0, 'ooh those be very fast animal a wolf']",wolf,17.6903016489045,female,Providence
toy, ,"('Max say Ruby your pillow be in the toy chest and your toy be in your bed', 'Mother')","[0, 'Max say Ruby your pillow be in the toy chest and your toy be in your bed']",bed,19.0332450358324,female,Providence
animal, ,"('she seem to be use to the card and the book now so I I will do those and then bring some of the animal', 'Camera_Operator')","[0, 'she seem to be use to the card and the book now so I I will do those and then bring some of the animal']",book,20.8874925563153,female,Providence
toy, ,"('you know maybe I put the train track away and bring it out in a couple of month it seem like a new toy to her', 'Mother')","[0, 'you know maybe I put the train track away and bring it out in a couple of month it seem like a new toy to her']",train,22.7232592045011,female,Providence
