animal,corn,some farm animal like to eat thing like corn cob from cob,Mother,35.46069,female,Providence,,,
animal,corn,one of the animal can eat the corn cob,Mother,35.46069,female,Providence,,,
animal,corn,you know we could look up which animal eat corn cob,Mother,35.46069,female,Providence,,,
animal,corn,animal like to eat corn I guess,Mother,31.00064,female,EllisWeismer,,,
animal,cracker,you have animal cracker on the table,Mother,21.00043,female,Brown,,,
animal,cracker,animal cracker and grape juice,Mother,21.00043,female,Brown,,,
animal,cracker,animal cracker huh,Mother,32.82203,female,Brown,,,
animal,cracker,here be a animal cracker out_of your Easter basket,Father,17.52603,male,Peters,,,
animal,cracker,do you put animal cracker in soup,Mother,31.16491,male,Demetras2,,,
animal,cracker,let sing animal cracker,Target_Child,31.16491,male,Demetras2,,,
animal,cracker,I have animal cracker,Target_Child,31.16491,male,Demetras2,,,
animal,cracker,you have animal cracker,Mother,31.16491,male,Demetras2,,,
animal,cracker,where do you have animal cracker,Mother,31.16491,male,Demetras2,,,
animal,cracker,you can have a animal cracker,Mother,21.26327,male,Providence,,,
animal,cracker,but we do buy this kind of animal cracker,Mother,24.39475,female,Providence,,,
animal,cracker,animal cracker have,Target_Child,24.39475,female,Providence,,,
animal,cracker,I want eat I want eat animal cracker,Target_Child,34.92063,female,Providence,,,
animal,cracker,be those animal cracker,Investigator,27.26339,female,Valian,,,
animal,cracker,ask him if he want a animal cracker,Mother,28.00057,female,Bates,,,
animal,cracker,ah want a animal cracker,Target_Child,28.00057,female,Bates,,,
animal,cracker,animal cracker,Target_Child,28.00057,female,Bates,,,
animal,cracker,animal cracker,Target_Child,28.00057,female,Bates,,,
animal,cracker,it a animal cracker,Mother,28.00057,female,Bates,,,
animal,cracker,it a animal cracker,Target_Child,28.00057,female,Bates,,,
animal,cracker,that all just a animal cracker,Mother,28.00057,female,Bates,,,
animal,cracker,there animal cracker,Target_Child,35.5264,male,Nicholas,,,
animal,crayon,what color crayon should I use to write the name of the animal,Mother,27.78907,female,Providence,,,
animal,doll,day after day he wait with all the other animal and doll for somebody to come along and take him home,Mother,21.85466,male,Providence,,,
animal,doll,and put him on a shelf in the toy department with all the other animal and doll,Mother,21.85466,male,Providence,,,
animal,doll,so so so then the the the we this doll stuff animal,Target_Child,34.26354,female,Providence,,,
animal,doll,what about the doll stuff animal,Mother,34.26354,female,Providence,,,
animal,doll,do they invite all their stuff animal and doll,Mother,32.6249,female,Providence,,,
animal,doll,when I feel good again I play doctor with my doll and stuff animal,Mother,32.6249,male,Snow,,,
animal,doll,they could share the food with the animal can the doll,Target_Child,34.92063,female,Suppes,,,
animal,doll,I want you to sit a animal or a doll over on this chair and feed her everything,Mother,35.39498,female,Suppes,,,
animal,door,Noah open the door of the ark and two by two the animal hurry in,Investigator,30.82199,female,Valian,,,
animal,door,what we can do be see we open the door and the animal go out they go out in the pasture,Mother,30.39487,female,Valian,,,
animal,drawer,the animal live in my drawer,Target_Child,33.82205,male,MacWhinney,,,
animal,dress,rabbit hold a little animal dress,Target_Child,23.95326,female,Suppes,,,
animal,drink,and a_lot_of the animal do have any water to drink,Father,34.82207,male,Clark,,,
animal,drink,the animal can drink out of it,Mother,29.55913,female,Providence,,,
animal,drink,the animal could drink water out of it,Mother,29.55913,female,Providence,,,
animal,drink,sometimes farm will let the animal go down to the pond to drink water,Mother,35.46069,female,Providence,,,
animal,drink,which animal will like to come and drink down at the pond,Mother,35.46069,female,Providence,,,
animal,drink,the animal gonna drink water,Father,25.75618,male,Feldman,,,
animal,drink,do you think any of the animal need a drink of water,Mother,28.00057,female,Warren,,,
animal,egg,you slip on the card all the rattle and the shake egg and this star fish be kind of a rattle too then I go put all the animal that move around in another spot,Mother,19.00039,female,Providence,,,
animal,egg,remember the animal with all the egg,Mother,28.1977,female,Suppes,,,
animal,egg,but the main thing we get from farm animal be milk from a cow and egg from a chicken,Mother,34.69065,female,Suppes,,,
animal,fish,huh spike animal huh this look like your fish,Mother,23.8547,female,Providence,,,
animal,fish,they have these little bucket with these little tiny animal the fish she love the fish we get her the fish and a snake a month a go or something,Mother,23.8547,female,Providence,,,
animal,fish,you slip on the card all the rattle and the shake egg and this star fish be kind of a rattle too then I go put all the animal that move around in another spot,Mother,19.00039,female,Providence,,,
animal,fish,so we have those animal and yeah and a turtle and a fish we have in book,Mother,15.00031,female,Bernstein,,,
animal,fish,those be tuna fish for animal,Target_Child,34.92063,female,Suppes,,,
animal,fish,those be tuna fish for animal,Target_Child,34.92063,female,Suppes,,,
animal,fish,ah animal and fish,Target_Child,30.69057,female,Braunwald,,,
animal,fish,animal and fish,Mother,30.69057,female,Braunwald,,,
animal,game,a game with animal,Target_Child,32.72346,male,Kuczaj,,,
animal,game,the animal game mom,Target_Child,30.00062,male,EllisWeismer,,,
animal,game,this animal game,Mother,30.00062,male,EllisWeismer,,,
animal,garage,we could make a garage for the truck and a barn for the animal,Mother,30.16489,female,Valian,,,
animal,garage,build a farm for these animal and a garage for the car,Target_Child,30.39487,female,Valian,,,
animal,garage,oh boy a farm for the animal and a garage for the car,Mother,30.39487,female,Valian,,,
animal,garage,a garage for the animal and these car,Target_Child,30.39487,female,Valian,,,
animal,garage,wow let build a garage for this animal and this animal and this animal and these animal and this animal and this animal and this and this and this,Target_Child,30.16489,female,Valian,,,
animal,garage,we could put the animal in the garage,Investigator,33.4935,male,Bloom70,,,
animal,juice,animal cracker and grape juice,Mother,21.00043,female,Brown,,,
animal,milk,these milk be for the animal not for not for child,Target_Child,34.92063,female,Suppes,,,
animal,milk,but the main thing we get from farm animal be milk from a cow and egg from a chicken,Mother,34.69065,female,Suppes,,,
animal,necklace,your necklace on your animal,Mother,22.49328,female,Valian,,,
animal,nuts,what the animal that eat nuts,Mother,29.78911,female,Suppes,,,
animal,nuts,remember the little brown animal that eat nuts,Mother,29.78911,female,Suppes,,,
animal,pajamas,oh you have many animal on your pajamas,Mother,27.16483,female,Suppes,,,
animal,pajamas,what animal be on the foot of your pajamas,Mother,27.16483,female,Suppes,,,
animal,pen,look Kalie put some animal in the pen,Mother,19.16466,female,Post,,,
animal,pen,look at the animal in the pen,Mother,19.16466,female,Post,,,
animal,pen,nine animal in the pen,Mother,30.00062,female,EllisWeismer,,,
animal,pen,we even have the little pen for each animal,Mother,30.00062,male,EllisWeismer,,,
animal,pen,they all look at the animal in the pen,Mother,32.00066,male,EllisWeismer,,,
animal,pen,and we can take all the animal out of this and put them in a pen,Mother,25.5919,male,Thomas,,,
animal,potato,maybe some of the animal want to play with the potato,Mother,30.00062,male,EllisWeismer,,,
animal,present,and then some of them be buy the other animal be buy by Grandma as a present for you,Mother,35.46069,female,Providence,,,
animal,pumpkin,some animal eat pumpkin,Mother,30.00062,male,EllisWeismer,,,
animal,pumpkin,which one of your animal friend will like to eat a pumpkin,Mother,30.00062,female,EllisWeismer,,,
animal,puzzle,can I find the puzzle with the animal,Mother,17.09891,female,Providence,,,
animal,puzzle,I get the puzzle with the animal,Mother,17.09891,female,Providence,,,
animal,puzzle,do you have any puzzle with animal,Mother,24.32904,female,Suppes,,,
animal,puzzle,oh I love to see a puzzle with animal on it,Mother,24.32904,female,Suppes,,,
animal,puzzle,oh yes well that a puzzle with animal,Family_Friend,24.32904,female,Suppes,,,
animal,puzzle,do you want to play with your animal puzzle,Mother,24.09906,female,Suppes,,,
animal,puzzle,that a puzzle with lots_of different animal,Mother,25.9533,female,Suppes,,,
animal,room,why do you put some of these animal in your room,Mother,35.98637,female,Brown,,,
animal,room,gorilla he go the animal room,Target_Child,33.72349,male,Demetras2,,,
animal,room,what other little animal be in that room,Mother,24.3619,female,Providence,,,
animal,room,more room for animal,Mother,32.6249,female,Providence,,,
animal,room,actual I think it in Mommy and Daddy room but let see what else be here what other animal be here,Mother,19.00039,female,Providence,,,
animal,room,I think I see your animal card in the live room be that where they be,Mother,24.55903,female,Providence,,,
animal,room,and then there might be room for all the animal,Mother,30.00062,female,EllisWeismer,,,
animal,soup,do you put animal cracker in soup,Mother,31.16491,male,Demetras2,,,
animal,soup,oh what animal go eat that delicious bean soup of yours,Mother,29.88768,female,Providence,,,
animal,story,you go to put the other animal away and tell a hippo story all by itself,Father,35.69067,male,Kuczaj,,,
animal,story,there a story about animal and pet and school,Mother,29.0006,male,Providence,,,
animal,story,here Nina here a story about baby animal,Mother,24.09906,female,Suppes,,,
animal,story,shall we read all your animal a story,Mother,29.85482,female,Suppes,,,
animal,story,be you think about the story in story time on Tuesday when we read that story about all the animal in the Jungle,Mother,26.95333,male,Thomas,,,
animal,table,you have animal cracker on the table,Mother,21.00043,female,Brown,,,
animal,tuna,those be tuna fish for animal,Target_Child,34.92063,female,Suppes,,,
animal,tuna,those be tuna fish for animal,Target_Child,34.92063,female,Suppes,,,
animal,water,and a_lot_of the animal do have any water to drink,Father,34.82207,male,Clark,,,
animal,water,our trip begin in a coral reef where amaze plant and animal live in warm sun and clear water that call the zone,Mother,35.82209,female,Providence,,,
animal,water,the tree and the bush take up the cry and the flower and the grass and the animal and the water pass it on and by night the evil tide have spread throughout the valley,Mother,33.1321,female,Providence,,,
animal,water,what other water animal do you see besides seal,Mother,29.88768,female,Providence,,,
animal,water,the animal could drink water out of it,Mother,29.55913,female,Providence,,,
animal,water,let pretend that inside here be be the special water for the animal,Target_Child,35.46069,female,Providence,,,
animal,water,yes animal might need special water,Mother,35.46069,female,Providence,,,
animal,water,sometimes farm will let the animal go down to the pond to drink water,Mother,35.46069,female,Providence,,,
animal,water,will the animal want a water bottle,Father,25.75618,male,Feldman,,,
animal,water,they like water too and so these animal need water,Father,25.75618,male,Feldman,,,
animal,water,okay well should we should we get a little dish of water for the animal,Father,25.75618,male,Feldman,,,
animal,water,animal water,Target_Child,25.75618,male,Feldman,,,
animal,water,the animal gonna drink water,Father,25.75618,male,Feldman,,,
animal,water,he just feed the animal some water,Mother,25.75618,male,Feldman,,,
animal,water,and and then he be water his animal,Father,25.75618,male,Feldman,,,
animal,water,do you think any of the animal need a drink of water,Mother,28.00057,female,Warren,,,
animal,water,they bring food and water to the animal,Investigator,30.82199,female,Valian,,,
animal,water,remember the other animal that be swim in the water,Mother,23.95326,female,Suppes,,,
animal,water,oh maybe these be some other animal with long neck back up in the water,Mother,12.95304,male,Soderstrom,,,
animal,window,another kind of animal in the window,Mother,25.72332,female,Weist,,,
clothes,bear,little bear just eat blueberry without think about whether they make their clothes dirt,Mother,29.55913,female,Providence,,,
clothes,bear,sleep bear do want more clothes,Target_Child,33.75634,female,Providence,,,
clothes,bear,bear do wear clothes on,Target_Child,34.42781,female,Suppes,,,
clothes,bear,yes bear do wear clothes on,Target_Child,34.42781,female,Suppes,,,
clothes,bear,oh dear without his clothes on he look a poor bear do he,Mother,24.65759,male,Thomas,,,
clothes,bed,you want to take your clothes off and start get ready for bed,Mother,29.78911,female,Suppes,,,
clothes,block,play with block let put some clothes on,Mother,16.52601,female,Providence,,,
clothes,book,box hold toy book and clothes,Mother,33.1321,female,Providence,,,
clothes,bread,smell the bread while it bake and the blueberry pie smell the fresh wash clothes as they hang out to dry,Mother,16.88741,male,Providence,,,
clothes,bunny,what kind of clothes do this little bunny have,Mother,30.32916,male,NewEngland,,,
clothes,cat,I do know if the cat like to be dress up in clothes,Mother,33.59207,female,Providence,,,
clothes,chair,I have to put it on the clothes chair,Mother,28.72338,male,Thomas,,,
clothes,closet,see the closet with all the clothes in it,Mother,33.03353,male,NewEngland,,,
clothes,closet,there a closet with clothes,Mother,27.88764,female,NewEngland,,,
clothes,closet,put it back in the closet and use these drawer for clothes,Mother,19.7232,female,Providence,,,
clothes,closet,well I go look in his closet for his clothes,Investigator,33.00068,female,EllisWeismer,,,
clothes,corn,you change his clothes and put them in the corn,Father,35.36212,male,Demetras1,,,
clothes,cow,past cow and woman wash clothes,Mother,23.32902,male,Providence,,,
clothes,crayon,I just do want you to get the crayon on your clothes,Mother,20.00041,female,Sachs,,,
clothes,dog,now you can button it you do have any button on your clothes wanna see the dog,Investigator,30.19774533,male,Clark,,,
clothes,doll,you have one for your doll clothes,Grandmother,30.42773,female,Brown,,,
clothes,doll,have one for doll clothes,Target_Child,30.42773,female,Brown,,,
clothes,doll,you get all the clothes off all your doll,Mother,31.16491,female,Brown,,,
clothes,doll,she wash the doll clothes,Grandmother,30.42773,female,Brown,,,
clothes,doll,the doll go clothes from Santa Claus,Target_Child,22.59184,female,Providence,,,
clothes,doll,the doll get her clothes off,Target_Child,22.59184,female,Providence,,,
clothes,doll,doll get clothes off,Target_Child,22.59184,female,Providence,,,
clothes,doll,doll get her clothes off,Target_Child,22.59184,female,Providence,,,
clothes,doll,we could bring some doll clothes and you could hang them,Mother,27.78907,female,Providence,,,
clothes,doll,do you want try hang up the doll clothes with the,Mother,27.78907,female,Providence,,,
clothes,doll,Mom we have_to hang up the doll clothes,Target_Child,27.78907,female,Providence,,,
clothes,doll,and I go to put the for the doll clothes right here,Mother,27.78907,female,Providence,,,
clothes,doll,Naima be go hang the doll the doll clothes,Target_Child,27.78907,female,Providence,,,
clothes,doll,doll clothes,Mother,27.78907,female,Providence,,,
clothes,doll,doll clothes,Mother,27.78907,female,Providence,,,
clothes,doll,no you go put the doll clothes,Target_Child,27.78907,female,Providence,,,
clothes,doll,find the doll clothes you need to find them before you hang them up,Mother,27.78907,female,Providence,,,
clothes,doll,where be the rest of the doll clothes,Mother,27.78907,female,Providence,,,
clothes,doll,do you want get some more doll clothes and hang them up to dry,Mother,27.78907,female,Providence,,,
clothes,doll,and some of the doll be the same and have the same clothes even,Mother,34.26354,female,Providence,,,
clothes,doll,should I take a picture of you put clothes on a doll so we can have it in Naima night that show all the thing you can do,Mother,34.26354,female,Providence,,,
clothes,doll,the doll clothes do come off,Mother,22.00045,female,Bernstein,,,
clothes,doll,but your doll come with clothes and there be anymore clothes,Mother,29.06631,female,Braunwald,,,
clothes,doll,yeah we need to get something to put all your doll clothes in do we Catherine,Mother,9.03304,male,Soderstrom,,,
clothes,doll,ma mommy could work on that and then you could keep your doll clothes in there,Mother,9.03304,male,Soderstrom,,,
clothes,doll,why do you take all your clothes off your baby doll,Mother,34.0007,female,Ambrose,,,
clothes,doll,I think those be dress up clothes for the doll,Mother,27.00055,female,Ambrose,,,
clothes,doll,and this little girl wash her doll clothes,Mother,25.19764,male,Thomas,,,
clothes,doll,can you see some clothes belong to the doll,Mother,26.49336,male,Thomas,,,
clothes,doll,will you like to take the clothes to the doll,Mother,26.49336,male,Thomas,,,
clothes,doll,those the doll clothes look,Mother,26.49336,male,Thomas,,,
clothes,doll,I think Mummy will have_to make some clothes for this doll,Mother,26.59192,male,Thomas,,,
clothes,doll,and when we go into the shop we see that there be some very nice little clothes for doll,Mother,30.65771,male,Thomas,,,
clothes,doll,those clothes we see today say they fit doll sixteen twenty inch,Mother,30.65771,male,Thomas,,,
clothes,doll,oh we have_to see if the shop do clothes for doll who be very small,Mother,30.65771,male,Thomas,,,
clothes,door,you keep say shut the door because you keep move part of the clothes dry towards you do you,Mother,28.03343,male,Thomas,,,
clothes,drawer,oh he go in his own drawer and take his clothes out himself huh,Mother,31.72344,male,NewEngland,,,
clothes,drawer,do you know where some of the clothes be in your drawer,Mother,31.72344,male,NewEngland,,,
clothes,drawer,we hafta go through your drawer and take out some clothes that be too small on you,Mother,31.52631,female,Providence,,,
clothes,drawer,and then we can put some of your new clothes into your drawer for school,Mother,31.52631,female,Providence,,,
clothes,drawer,put it back in the closet and use these drawer for clothes,Mother,19.7232,female,Providence,,,
clothes,drawer,clothes go in the chest of drawer,Mother,35.5264,female,Suppes,,,
clothes,drawer,you have clothes in the drawer,Mother,27.19768,female,Braunwald,,,
clothes,drawer,but will you put the clothes that be clean in the drawer,Mother,27.16483,female,Braunwald,,,
clothes,drink,then he change his clothes and drink some lemonade outside,Mother,30.13204,female,Post,,,
clothes,drink,then he change his clothes and drink some lemonade outside,Mother,25.72332,female,Post,,,
clothes,drink,clean clothes and then we have a nice drink,Mother,26.82191,male,Thomas,,,
clothes,dryer,there be no clothes in the dryer,Mother,16.36173,male,Providence,,,
clothes,dryer,final the dryer stop whirl and the man gather up the clothes,Mother,29.59198,female,Providence,,,
clothes,dryer,I think I go to put the clothes that be in the wash machine into the dryer and dry them,Mother,20.5918,female,Providence,,,
clothes,dryer,I put the wet clothes into the dryer,Mother,20.5918,female,Providence,,,
clothes,dryer,I good wash and take those clothes down in the dryer,Mother,18.62461,female,Braunwald,,,
clothes,dryer,I think it a clothes dryer,Investigator,30.00062,female,EllisWeismer,,,
clothes,dryer,you find the clothes dryer,Investigator,31.00064,male,EllisWeismer,,,
clothes,dryer,that a clothes dryer,Investigator,30.00062,male,EllisWeismer,,,
clothes,dryer,I can wonder if we need to iron the clothes that be in the clothes dryer,Investigator,30.00062,male,EllisWeismer,,,
clothes,dryer,I think this be the clothes dryer,Investigator,30.00062,female,EllisWeismer,,,
clothes,dryer,be that one a dryer and this one a wash for clothes,Investigator,31.00064,female,EllisWeismer,,,
clothes,dryer,it the clothes dryer,Mother,25.13193,male,Thomas,,,
clothes,dryer,we get a clothes hang dryer have we,Mother,29.95339,male,Thomas,,,
clothes,fish,fish do wear clothes do they,Mother,34.69065,female,Suppes,,,
clothes,fish,fish do wear clothes do they,Mother,34.69065,female,Suppes,,,
clothes,horse,do horse wear clothes,Mother,34.42781,female,Suppes,,,
clothes,horse,it the clothes horse,Mother,25.75618,male,Thomas,,,
clothes,horse,be you go to help Mummy fold this clothes horse down,Mother,27.06626,male,Thomas,,,
clothes,horse,be you hide in the clothes horse,Mother,28.69053,male,Thomas,,,
clothes,horse,you like play with the clothes horse pretend it a shop do you,Mother,28.72338,male,Thomas,,,
clothes,kitty,do kitty wear clothes,Mother,34.42781,female,Suppes,,,
clothes,mouse,look at the mouse he change his clothes,Mother,18.00037,female,Ambrose,,,
clothes,orange,orange and purple clothes will be good too,Mother,30.78913,female,Valian,,,
clothes,owl,no I go fold the clothes now remember I say I will read the owl and then I need to fold the clothes,Mother,31.78915,female,Providence,,,
clothes,pig,the pig be look for some clothes I think make a mess throw the clothes everywhere,Mother,23.23046,female,Providence,,,
clothes,pig,I have two pig who wear my clothes,Mother,33.36208,male,Conti,,,
clothes,room,now we should go back to Mommy and Daddy room because I have some clothes to hang up,Mother,18.29606,female,Providence,,,
clothes,room,you want me to take these clothes to room,Father,31.78915,female,Providence,,,
clothes,room,let see let make room so we can take her take her clothes off,Investigator,34.62494,male,Bloom70,,,
clothes,shower,he has_to take a shower with his clothes on,Investigator,33.00068,male,EllisWeismer,,,
clothes,shower,so Mummy go upstairs and have a shower and put some clothes on and put some make up on,Mother,27.82193,male,Thomas,,,
clothes,story,we dry her and put clothes on her and read her a story,Mother,29.92053,female,Suppes,,,
clothes,turtle,she come out of her shell the shell be like the turtle clothes he wear she wear it on her back,Mother,18.13179,female,Providence,,,
clothes,water,so he do get his clothes wet from the water that he use to wash the dish,Mother,26.55907,female,Providence,,,
clothes,water,put water in here and hang your clothes up to dry,Mother,27.00055,NA,Feldman,,,
clothes,yogurt,okay she also go take off all her clothes which have yogurt all over them,Mother,31.0992,female,Providence,,,
food,alligator,maybe you good find some other food for the alligator,Mother,34.69065,female,Suppes,,,
food,ant,the ant work hard carry food and other thing back to the colony,Mother,31.92057,female,Providence,,,
food,ant,they leave a scent trail between the food they find and the nest so the rest of the ant will know which way they go,Mother,31.92057,female,Providence,,,
food,ant,remember in our other house all the ant we have when we drop food on the floor,Mother,35.39498,female,Suppes,,,
food,ball,do you want go play with a ball or some food,Mother,18.00037,female,Ambrose,,,
food,ball,a more ball Bow food,Target_Child,25.72332,male,Thomas,,,
food,bear,do you have any interest in eat bear food,Mother,27.52623,female,Providence,,,
food,bear,why the bear food,Target_Child,27.52623,female,Providence,,,
food,bear,bear food be good to eat,Mother,27.52623,female,Providence,,,
food,bear,bear food,Target_Child,27.52623,female,Providence,,,
food,bear,okay I make the bear food for the bear cub,Mother,27.52623,female,Providence,,,
food,bear,bear food right,Mother,27.52623,female,Providence,,,
food,bear,I see more bear food here,Mother,28.36198,female,Providence,,,
food,bear,the bear do want eat her her bear food,Target_Child,28.36198,female,Providence,,,
food,bear,I be make the bear food with this,Mother,27.52623,female,Providence,,,
food,bear,cause that what go in bear food,Mother,27.52623,female,Providence,,,
food,bear,bear bear bear food bear bear bear food,Target_Child,27.52623,female,Providence,,,
food,bear,bear food,Target_Child,27.52623,female,Providence,,,
